id,folder,instrument,matchup,N_vs_N,observed,actual_winner,predicted,predicted_ceil,predicted_winner,pcterr,abs_pcterr,domain_class,verdict,flags,arithmetic
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+10.0_Gatotlvl1_NoDefenderHero_20260712_092223,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,93,attacker,92.433212,93,attacker,-0.609449,0.609449,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4.4*6)*1/(3.577*1*1)*1*1/sqrt(1)=92.4332]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+15.5H+10.0_Gatotlvl1_NoDefenderHero_20260712_093608,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,107,attacker,106.760360,107,attacker,-0.223963,0.223963,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4.62*6.6)*1/(3.577*1*1)*1*1/sqrt(1)=106.76]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+15.5H+11.1_Gatotlvl1_NoDefenderHero_20260712_095059,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,108,attacker,107.827964,108,attacker,-0.159293,0.159293,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4.62*6.666)*1/(3.577*1*1)*1*1/sqrt(1)=107.828]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+15.5_Gatotlvl1_NoDefenderHero_20260712_092648,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,97,attacker,97.054873,98,attacker,0.056570,0.056570,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4.62*6)*1/(3.577*1*1)*1*1/sqrt(1)=97.0549]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+5.0H+1.0_Gatotlvl1_NoDefenderHero_20260712_123341,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,89,attacker,89.114020,90,attacker,0.128112,0.128112,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4.2*6.06)*1/(3.577*1*1)*1*1/sqrt(1)=89.114]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+5.0H+1.5_Gatotlvl1_NoDefenderHero_20260712_123621,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,90,attacker,89.555178,90,attacker,-0.494247,0.494247,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.09)*1/(3.577*1*1)*1*1/sqrt(1)=89.5552]; def->att [t=12.524*(11.464*6)*1/(1.04*1*1)*1*1/sqrt(1)=828.318]
FarSeer_1v1_T1InfvT1Inf_AttInfA+257.7_Gatotlvl1_NoDefenderHero_20260712_090948,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,84,attacker,84.030193,85,attacker,0.035944,0.035944,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4*6)*1/(3.577*1*1)*1*1/sqrt(1)=84.0302]; def->att [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]
FarSeer_1v1_T1InfvT1Inf_AttInfA+269.7D+196.6L+10.0H+10.0_DefInfA+4.0D+5.0L+1.8H+14.4_Gatotlvl1_NoDefenderHero_20260712_131030,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,89,attacker,88.782524,89,attacker,-0.244355,0.244355,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.864)*1/(3.697*1.1*1)*1*1/sqrt(1)=88.7825]; def->att [t=12.524*(11.864*6.6)*1/(1.04*1.018*1)*1*1/sqrt(1)=926.269]
FarSeer_1v1_T1InfvT1Inf_AttInfA+269.7D+202.1L+10.0H+10.0_DefInfA+4.0D+5.0L+1.8H+16.1_Gatotlvl1_NoDefenderHero_20260712_134827,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,90,attacker,90.101845,91,attacker,0.113161,0.113161,in_exact_duel,PASS,,att->def [t=12.524*(4.2*6.966)*1/(3.697*1.1*1)*1*1/sqrt(1)=90.1018]; def->att [t=12.524*(12.084*6.6)*1/(1.04*1.018*1)*1*1/sqrt(1)=943.445]
FarSeer_1v1_T1InfvT1Inf_AttInfA+269.7D+202.1L+10.0H+10.0_DefInfA+4.0D+5.0L+1.8H+16.1_Gatotlvl1_NoDefenderHero_20260712_135653,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,90,attacker,90.101845,91,attacker,0.113161,0.113161,in_exact_duel,PASS,,att->def [t=12.524*(4.2*6.966)*1/(3.697*1.1*1)*1*1/sqrt(1)=90.1018]; def->att [t=12.524*(12.084*6.6)*1/(1.04*1.018*1)*1*1/sqrt(1)=943.445]
FarSeer_1v1_T1InfvT1Inf_Ursarlvl2_NoDefenderHero_20260712_013710,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,,attacker,294.393732,295,attacker,,,in_exact_duel,PASS,lh_panel_uncaptured;no_turn_clock;winner_only,att->def [t=12.524*(4*6)*1/(1.021*1*1)*1*1/sqrt(1)=294.394]; def->att [t=12.524*(4.004*6)*1/(1*1*1)*1*1/sqrt(1)=300.877]
FarSeer_1v1_T1MMvT1MM_Gordonlvl1_NoDefenderHero_20260711_213829,Lab Rat,exact_1v1,MMT1x1 -> MMT1x1,1v1,"[18,19]",attacker,18.500163,19,attacker,0.000882,0.000882,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=566.66*(1*1)*1/(5.105*6*1)*1*1/sqrt(1)=18.5002]; def->att [t=566.66*(1.001*1)*1/(5*6*1)*1*1/sqrt(1)=18.9076]
FarSeer_1v1_T3InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+14.4_Gatotlvl1_NoDefenderHero_20260712_130941,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,49,attacker,48.483438,49,attacker,-1.054208,1.054208,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.864)*1/(10.731*3*1)*4.323*1/sqrt(1)=48.4834]; def->att [t=12.524*(17.196*9)*1/(1.04*1.018*1)*1*0.904/sqrt(1)=1655.01]
FarSeer_1v1_T3InfvT1Inf_AttInfA+257.7D+186.6L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+4.0_Gatotlvl1_NoDefenderHero_20260712_130801,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,44,attacker,44.075853,45,attacker,0.172393,0.172393,in_exact_duel,PASS,,att->def [t=12.524*(4.2*6.24)*1/(10.731*3*1)*4.323*1/sqrt(1)=44.0759]; def->att [t=12.524*(17.196*9)*1/(1.04*1.018*1)*1*0.904/sqrt(1)=1655.01]
FarSeer_1v1_T3InfvT1Inf_AttInfA+257.7D+192.1L+0.0H+0.0_DefInfA+14.0D+15.0L+11.8H+27.1_Gatotlvl1_NoDefenderHero_20260712_135113,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,59,attacker,58.995852,59,attacker,-0.007030,0.007030,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.6*7.626)*1/(10.731*3*1)*4.323*1/sqrt(1)=58.9959]; def->att [t=12.524*(17.526*9)*1/(1.14*1.118*1)*1*0.904/sqrt(1)=1401.17]
FarSeer_1v1_T3InfvT1Inf_AttInfA+257.7D+192.1L+0.0H+0.0_DefInfA+4.0D+5.0L+1.8H+16.1_Gatotlvl1_NoDefenderHero_20260712_135603,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,49,attacker,49.203909,50,attacker,0.416141,0.416141,in_exact_duel,PASS,,att->def [t=12.524*(4.2*6.966)*1/(10.731*3*1)*4.323*1/sqrt(1)=49.2039]; def->att [t=12.524*(17.526*9)*1/(1.04*1.018*1)*1*0.904/sqrt(1)=1686.77]
FarSeer_1v1_T3InfvT1Inf_AttInfA+257.7_DefInfA+4.0D+5.0H+1.0_Gatotlvl1_NoDefenderHero_20260712_123127,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,43,attacker,42.804434,43,attacker,-0.454804,0.454804,in_exact_duel,PASS,lh_panel_uncaptured;ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.06)*1/(10.731*3*1)*4.323*1/sqrt(1)=42.8044]; def->att [t=12.524*(17.196*9)*1/(1.04*1*1)*1*0.904/sqrt(1)=1684.8]
FarSeer_1v1_T3InfvT1Inf_AttInfA+269.7D+196.6L+10.0H+10.0_DefInfA+4.0D+5.0L+1.8H+14.4_Gatotlvl1_NoDefenderHero_20260712_131118,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,43,attacker,42.645206,43,attacker,-0.825103,0.825103,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.864)*1/(11.091*3.3*1)*4.323*1/sqrt(1)=42.6452]; def->att [t=12.524*(17.796*9.9)*1/(1.04*1.018*1)*1*0.904/sqrt(1)=1884.03]
FarSeer_1v1_T3InfvT1Inf_AttInfA+269.7D+202.1L+10.0H+10.0_DefInfA+4.0D+5.0L+1.8H+16.1_Gatotlvl1_NoDefenderHero_20260712_134910,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,43,attacker,43.278920,44,attacker,0.648650,0.648650,in_exact_duel,PASS,,att->def [t=12.524*(4.2*6.966)*1/(11.091*3.3*1)*4.323*1/sqrt(1)=43.2789]; def->att [t=12.524*(18.126*9.9)*1/(1.04*1.018*1)*1*0.904/sqrt(1)=1918.97]
FarSeer_1v1_T3InfvT1Inf_AttInfA+272.1D+202.1L+10.0H+10.0_DefInfA+4.0D+5.0L+1.8H+16.1_Gatotlvl1_NoDefenderHero_20260712_135804,Lab Rat,exact_1v1,InfT3x1 -> InfT1x1,1v1,43,attacker,42.999776,43,attacker,-0.000522,0.000522,in_exact_duel,PASS,ceil_exact_or_in_band,att->def [t=12.524*(4.2*6.966)*1/(11.163*3.3*1)*4.323*1/sqrt(1)=42.9998]; def->att [t=12.524*(18.126*9.9)*1/(1.04*1.018*1)*1*0.904/sqrt(1)=1918.97]
FarSeer_Beast_1v18_T1InfvT1Inf_Att+10L_Gatotlvl1_NoDefenderHero_20260712_021010,Lab Rat,beast,InfT1x1 -> InfT1x18,1v18,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,beast_mapping_assumed;beast_per_kill;lh_panel_uncaptured;capped_check,per-kill [t=12.524*(4*6)*1/(2.886*1.1*1)*1*1/sqrt(1)=94.6815]; total=94.6815*18=1704.27
FarSeer_Beast_1v18_T1InfvT1Inf_Att+21.6L+53.2H_Gatotlvl1_NoDefenderHero_UserSummary,Lab Rat,beast,InfT1x1 -> InfT1x18,1v18,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,beast_mapping_assumed;beast_per_kill;lh_panel_uncaptured;capped_check,per-kill [t=12.524*(4*6)*1/(1*1*1)*1*1/sqrt(1)=300.576]; total=300.576*18=5410.37
FarSeer_Beast_1v18_T1InfvT1Inf_Att+21.6L_Gatotlvl1_NoDefenderHero_20260712_021112,Lab Rat,beast,InfT1x1 -> InfT1x18,1v18,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,beast_mapping_assumed;beast_per_kill;lh_panel_uncaptured;capped_check,per-kill [t=12.524*(4*6)*1/(2.886*1.216*1)*1*1/sqrt(1)=85.6494]; total=85.6494*18=1541.69
FarSeer_Beast_1v18_T1InfvT1Inf_Att+32.7L+53.2H_Gatotlvl1_NoDefenderHero_20260712_021542,Lab Rat,beast,InfT1x1 -> InfT1x18,1v18,1411,attacker,1412.731264,1413,attacker,0.122698,0.122698,in_beast_victory,PASS,beast_mapping_assumed;beast_per_kill,per-kill [t=12.524*(4*6)*1/(2.886*1.327*1)*1*1/sqrt(1)=78.4851]; total=78.4851*18=1412.73
FarSeer_Beast_1v18_T1InfvT1Inf_Gatotlvl1_NoDefenderHero_20260712_020035,Lab Rat,beast,InfT1x1 -> InfT1x18,1v18,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,beast_mapping_assumed;beast_per_kill;lh_panel_uncaptured;capped_check,per-kill [t=12.524*(4*6)*1/(2.886*1*1)*1*1/sqrt(1)=104.15]; total=104.15*18=1874.69
FarSeer_Beast_1v18_T2InfvT1Inf_Gatotlvl1_NoDefenderHero_20260712_020124,Lab Rat,beast,InfT2x1 -> InfT1x18,1v18,1255,attacker,1256.045239,1257,attacker,0.083286,0.083286,in_beast_victory,PASS,beast_mapping_assumed;beast_per_kill;lh_panel_uncaptured,per-kill [t=12.524*(4*6)*1/(5.772*2*1)*2.68*1/sqrt(1)=69.7803]; total=69.7803*18=1256.05
FarSeer_Beast_1v18_T6InfvT1Inf_Gatotlvl1_NoDefenderHero_20260712_015509,Lab Rat,beast,InfT6x1 -> InfT1x18,1v18,486,attacker,486.036838,487,attacker,0.007580,0.007580,in_beast_victory,PASS,beast_mapping_assumed;beast_per_kill;lh_panel_uncaptured,per-kill [t=12.524*(4*6)*1/(20.202*6*1)*10.889*1/sqrt(1)=27.002]; total=27.002*18=486.037
LabRat_1v1_T1InfvT1Inf_NoAttackerHero_Eliflvl1_20260712_013954,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,44,defender,44.775212,45,defender,1.761846,1.761846,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(26.772*6)*1/(1*1*1)*1*1/sqrt(1)=2011.76]; def->att [t=12.524*(4*6)*1/(6.713*1*1)*1*1/sqrt(1)=44.7752]
LabRat_1v1_T1InfvT1Inf_NoAttackerHero_Gatotlvl1_20260712_014520,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,104,defender,104.149688,105,defender,0.143931,0.143931,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(11.464*6)*1/(1*1*1)*1*1/sqrt(1)=861.451]; def->att [t=12.524*(4*6)*1/(2.886*1*1)*1*1/sqrt(1)=104.15]
LabRat_1v1_T1InfvT1Inf_NoAttackerHero_Gordonlvl1_20260711_214025,Lab Rat,exact_1v1,InfT1x1 -> InfT1x1,1v1,"[285,287]",defender,294.393732,295,defender,2.934871,2.934871,in_exact_duel,PASS,lh_panel_uncaptured,att->def [t=12.524*(4.004*6)*1/(1*1*1)*1*1/sqrt(1)=300.877]; def->att [t=12.524*(4*6)*1/(1.021*1*1)*1*1/sqrt(1)=294.394]
LabRat_1v1_T1LanvT1Inf_NoAttackerHero_Gordonlvl1_20260711_214053,Lab Rat,exact_1v1,LanT1x1 -> InfT1x1,1v1,"[90,91]",defender,87.874633,88,defender,-2.900958,2.900958,in_exact_duel,PASS,factorized_K;lh_panel_uncaptured,att->def [t=83.6605*(4.004*6)*1/(4*5*1)*1*1/sqrt(1)=100.493]; def->att [t=22.43*(2*2)*1/(1.021*1*1)*1*1/sqrt(1)=87.8746]
LabRat_1v1_T1LanvT1MM_NoAttackerHero_Gordonlvl1_20260711_213859,Lab Rat,exact_1v1,LanT1x1 -> MMT1x1,1v1,"[24,26]",attacker,21.881479,22,defender,-12.474083,12.474083,in_exact_duel,FAIL,factorized_K;lh_panel_uncaptured;winner_mismatch,att->def [t=488.71*(1.001*1)*1/(4*5*1)*1*1/sqrt(1)=24.4599]; def->att [t=167.557*(2*2)*1/(5.105*6*1)*1*1/sqrt(1)=21.8815]
LabRat_1v1_T1MMvT1Inf_NoAttackerHero_Gordonlvl1_20260711_213754,Lab Rat,exact_1v1,MMT1x1 -> InfT1x1,1v1,"[72,74]",attacker,71.655240,72,defender,-1.842137,1.842137,in_exact_duel,FAIL,lh_panel_uncaptured;ceil_exact_or_in_band;winner_mismatch,att->def [t=90.11*(4.004*6)*1/(5*6*1)*1*1/sqrt(1)=72.1601]; def->att [t=73.16*(1*1)*1/(1.021*1*1)*1*1/sqrt(1)=71.6552]
LabRat_1v1_T1MMvT1Inf_NoAttackerHero_Gordonlvl1_20260711_214115,Lab Rat,exact_1v1,MMT1x1 -> InfT1x1,1v1,"[72,74]",attacker,71.655240,72,defender,-1.842137,1.842137,in_exact_duel,FAIL,lh_panel_uncaptured;ceil_exact_or_in_band;winner_mismatch,att->def [t=90.11*(4.004*6)*1/(5*6*1)*1*1/sqrt(1)=72.1601]; def->att [t=73.16*(1*1)*1/(1.021*1*1)*1*1/sqrt(1)=71.6552]
ColonelMuller_11v2_T1Inf+10T1MMvT1Inf+T1MM_Gatot+NoMMHero_Gatot+Vulcanus_20260714_004004,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+MMT1x10 -> InfT1x1+MMT1x1,11v2,47,defender,47.000000,47,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=47
ColonelMuller_1v2_T1InfvT1Inf+T1MM_Gatot_Gatot+Vulcanus_20260714_003803,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1 -> InfT1x1+MMT1x1,1v2,78,defender,78.000000,78,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;ceil_exact_or_in_band,anchor solo=78; front=78; final=78
ColonelMuller_2v2_T1Inf+T1LanvT1Inf+T1MM_Gatot_Gatot+Vulcanus_20260714_004535,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+LanT1x1 -> InfT1x1+MMT1x1,2v2,36,defender,36.000000,36,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=36
ColonelMuller_2v2_T1Inf+T1MMvT1Inf+T1MM_Gatot+NoMMHero_Gatot+Vulcanus_20260714_003822,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+MMT1x1 -> InfT1x1+MMT1x1,2v2,35,defender,35.000000,35,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=35
ColonelMuller_3v2_T1Inf+2T1MMvT1Inf+T1MM_Gatot+NoMMHero_Gatot+Vulcanus_20260714_003848,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+MMT1x2 -> InfT1x1+MMT1x1,3v2,36,defender,36.000000,36,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=36
ColonelMuller_4v2_T1Inf+3T1MMvT1Inf+T1MM_Gatot+NoMMHero_Gatot+Vulcanus_20260714_003911,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+MMT1x3 -> InfT1x1+MMT1x1,4v2,37,defender,37.000000,37,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=37
ColonelMuller_5v2_T1Inf+4T1MMvT1Inf+T1MM_Gatot+NoMMHero_Gatot+Vulcanus_20260714_004940,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+MMT1x4 -> InfT1x1+MMT1x1,5v2,39,defender,39.000000,39,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=39
ColonelMuller_6v2_T1Inf+5T1MMvT1Inf+T1MM_Gatot+NoMMHero_Gatot+Vulcanus_20260714_003939,Meuller_Alpaca_v5_8_Battle,composition,InfT1x1+MMT1x5 -> InfT1x1+MMT1x1,6v2,40,defender,40.000000,40,defender,0.000000,0.000000,in_composition_anchor,PASS,composition_anchor;no_turn_clock;ceil_exact_or_in_band,front=round(0.4231*78)=33; front=33; final=40
Alpaca_1v1_T1MMFC1vT1InfFC1_Vulcanus_Gatot_20260713_105103,MuellerAlpaca,gatot_gate,MMT1x1 -> InfT1x1,1v1,102,attacker,101.419653,102,attacker,-0.568968,0.568968,in_gatot_scurve,PASS,gatot_scurve;ceil_exact_or_in_band,att->def [Gatot-S: pool=.88*(23.268*12.522)=256.398; d=(58.625*21.432)/90.11=13.9435; S=1+10.7274*exp(-13.9435/16.8932)=5.69928; rate=d*(31/30)*seo/S*sqrt(1)=2.52809; t=101.42]; def->att [t=73.16*(11.623*2.606)*1/(5.81*2.12*0.96)*1*1/sqrt(1)=187.406]
LabRat_32v1_T3MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_213727,MuellerAlpaca,gatot_threshold,MMT3x32 -> InfT1x1,32v1,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,G_w_bounded_marksman;budget_FarSeer_Gatot_S12_L1;gatot_budget;capped_check,att->def [Gatot-B: pool=11.684*6=70.104; r=(9.216*9.045)/(90.11*1)=0.925077; net=32*r-30.15=0; capped]; def->att [t=73.16*(3.441*3.045)*1/(3.001*1*1)*1*0.2488/sqrt(1)=63.5521]
LabRat_33v1_T3MMvT1Inf_NoAttackerHero_Gatotlvl1_20260712_213849,MuellerAlpaca,gatot_threshold,MMT3x33 -> InfT1x1,33v1,186,attacker,185.680114,186,attacker,-0.171982,0.171982,out_base_mismatch_T3_threshold,PASS,G_w_bounded_marksman;budget_FarSeer_Gatot_S12_L1;gatot_budget;ceil_exact_or_in_band,att->def [Gatot-B: pool=11.684*6=70.104; r=(9.216*9.045)/(90.11*1)=0.925077; net=33*r-30.15=0.377553; t=pool/net=185.68]; def->att [t=73.16*(3.441*3.045)*1/(3.001*1*1)*1*0.2488/sqrt(1)=63.5521]
LabRat_66v1_T3LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_214434,MuellerAlpaca,gatot_threshold,LanT3x66 -> InfT1x1,66v1,1500,defender,capped,1500+,defender,,,out_capped_stalemate,PASS,G_l_fallback_infantry;budget_FarSeer_Gatot_S12_L1;gatot_K_LanInf_implied;gatot_budget;capped_check,att->def [Gatot-B: pool=11.684*6=70.104; r=(6.846*8.04)/(111.3*1.0909)=0.453328; net=66*r-30.15=0; capped]; def->att [t=22.43*(4.544*4.06)*1/(3.001*1*1)*1*0.904/sqrt(1)=124.651]
LabRat_67v1_T3LanvT1Inf_NoAttackerHero_Gatotlvl1_20260712_214455,MuellerAlpaca,gatot_threshold,LanT3x67 -> InfT1x1,67v1,334,attacker,314.372641,315,attacker,-5.876455,5.876455,out_base_mismatch_T3_threshold,PASS,G_l_fallback_infantry;budget_FarSeer_Gatot_S12_L1;gatot_K_LanInf_implied;gatot_budget,att->def [Gatot-B: pool=11.684*6=70.104; r=(6.846*8.04)/(111.3*1.0909)=0.453328; net=67*r-30.15=0.222997; t=pool/net=314.373]; def->att [t=22.43*(4.544*4.06)*1/(3.001*1*1)*1*0.904/sqrt(1)=124.651]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+194.1D+172.2L+122.0H+118.7_DefInfA+514.1D+506.9L+115.0H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_150803,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,132,defender,135.523200,136,defender,2.669091,2.669091,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(2.941*2.22*1)*1*1/sqrt(1)=598.191]; def->att [t=12.524*(10.888*13.122)*1/(6.141*2.15*1)*1*1/sqrt(1)=135.523]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+251.3D+229.4L+122.0H+156.6_DefInfA+514.1D+506.9L+115.0H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_151512,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,187,defender,192.423004,193,defender,2.900002,2.900002,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(3.513*2.22*1)*1*1/sqrt(1)=500.792]; def->att [t=12.524*(13.176*15.396)*1/(6.141*2.15*1)*1*1/sqrt(1)=192.423]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+251.3D+229.4L+126.4H+123.6_DefInfA+514.1D+506.9L+115.0H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_151159,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,163,defender,167.676476,168,defender,2.869004,2.869004,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(3.513*2.264*1)*1*1/sqrt(1)=491.059]; def->att [t=12.524*(13.176*13.416)*1/(6.141*2.15*1)*1*1/sqrt(1)=167.676]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+251.3D+268.4L+122.0H+118.7_DefInfA+514.1D+506.9L+115.0H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_151839,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,178,defender,183.419349,184,defender,3.044578,3.044578,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(3.513*2.22*1)*1*1/sqrt(1)=500.792]; def->att [t=12.524*(14.736*13.122)*1/(6.141*2.15*1)*1*1/sqrt(1)=183.419]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+251.3D+268.4L+122.0H+118.7_DefInfA+514.1D+506.9L+172.3H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_152106,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,141,defender,144.822475,145,defender,2.710975,2.710975,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(3.513*2.22*1)*1*1/sqrt(1)=500.792]; def->att [t=12.524*(14.736*13.122)*1/(6.141*2.723*1)*1*1/sqrt(1)=144.822]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+251.3D+282.7L+122.0H+118.7_DefInfA+514.1D+506.9L+172.3H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_152248,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,146,defender,150.443978,151,defender,3.043820,3.043820,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(3.513*2.22*1)*1*1/sqrt(1)=500.792]; def->att [t=12.524*(15.308*13.122)*1/(6.141*2.723*1)*1*1/sqrt(1)=150.444]
MuellerAlpaca_1v1_T1InfvFC1T1Inf_AttInfA+251.3D+284.4L+122.0H+118.7_DefInfA+514.1D+506.9L+172.3H+114.1_Gatotlvl1_AlpacaFC1T1_NoDefenderHero_20260712_152350,MuellerAlpaca,exact_1v1,InfT1x1 -> InfT1x1,1v1,147,defender,151.112268,152,defender,2.797461,2.797461,in_exact_duel,PASS,,att->def [t=12.524*(24.276*12.846)*1/(3.513*2.22*1)*1*1/sqrt(1)=500.792]; def->att [t=12.524*(15.376*13.122)*1/(6.141*2.723*1)*1*1/sqrt(1)=151.112]
